dataset,model,epochs,base_variance,lambda_scale,temperature,test_acc_no_def,conf_acc_no_def,loss_acc_no_def,shadow_acc_no_def,test_acc_dyna,conf_acc_dyna,loss_acc_dyna,shadow_acc_dyna,put_dyna_conf,put_dyna_loss,put_dyna_shadow
cifar10,alexnet,15,0.1,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8169,0.2783,0.4227,0.5745,0.4131,0.337,0.2021
cifar10,alexnet,15,0.1,2.1,6.0,0.8211,0.6956,0.7639,0.7808,0.817,0.2784,0.4225,0.5745,0.4131,0.3373,0.2022
cifar10,alexnet,15,0.1,2.2,6.0,0.8211,0.6956,0.7639,0.7808,0.8166,0.2784,0.4225,0.5744,0.4127,0.3369,0.2019
cifar10,alexnet,15,0.1,2.3,6.0,0.8211,0.6956,0.7639,0.7808,0.8168,0.2783,0.4225,0.5743,0.413,0.3371,0.2022
cifar10,alexnet,15,0.1,2.4,6.0,0.8211,0.6956,0.7639,0.7808,0.8167,0.2784,0.4226,0.5742,0.4128,0.3369,0.2022
cifar10,alexnet,15,0.1,2.5,6.0,0.8211,0.6956,0.7639,0.7808,0.8168,0.2784,0.4226,0.5743,0.4129,0.337,0.2022
cifar10,alexnet,15,0.1,2.6,6.0,0.8211,0.6956,0.7639,0.7808,0.8167,0.2785,0.4225,0.5742,0.4127,0.337,0.2022
cifar10,alexnet,15,0.1,2.7,6.0,0.8211,0.6956,0.7639,0.7808,0.8167,0.2784,0.4225,0.5742,0.4128,0.337,0.2022
cifar10,alexnet,15,0.1,2.8,6.0,0.8211,0.6956,0.7639,0.7808,0.8166,0.2784,0.4225,0.5743,0.4127,0.3369,0.202
cifar10,alexnet,15,0.1,2.9,6.0,0.8211,0.6956,0.7639,0.7808,0.8165,0.2785,0.4226,0.5745,0.4125,0.3367,0.2017
cifar10,alexnet,15,0.1,3.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8164,0.2785,0.4226,0.5744,0.4124,0.3366,0.2017
cifar10,alexnet,15,0.1,3.1,6.0,0.8211,0.6956,0.7639,0.7808,0.8162,0.2785,0.4226,0.5745,0.4122,0.3364,0.2014
cifar10,alexnet,15,0.1,3.2,6.0,0.8211,0.6956,0.7639,0.7808,0.8158,0.2785,0.4228,0.5745,0.4118,0.3358,0.201
cifar10,alexnet,15,0.1,3.3,6.0,0.8211,0.6956,0.7639,0.7808,0.8158,0.2787,0.4228,0.5746,0.4116,0.3358,0.2009
cifar10,alexnet,15,0.1,3.4,6.0,0.8211,0.6956,0.7639,0.7808,0.8156,0.2787,0.4228,0.5747,0.4114,0.3356,0.2006
cifar10,alexnet,15,0.1,3.5,6.0,0.8211,0.6956,0.7639,0.7808,0.8154,0.2786,0.4227,0.5747,0.4113,0.3355,0.2004
cifar10,alexnet,15,0.1,3.6,6.0,0.8211,0.6956,0.7639,0.7808,0.8153,0.2785,0.4227,0.5749,0.4113,0.3354,0.2001
cifar10,alexnet,15,0.1,3.7,6.0,0.8211,0.6956,0.7639,0.7808,0.815,0.2785,0.4226,0.5749,0.411,0.3352,0.1998
cifar10,alexnet,15,0.1,3.8,6.0,0.8211,0.6956,0.7639,0.7808,0.8147,0.2786,0.4227,0.5749,0.4106,0.3348,0.1995
cifar10,alexnet,15,0.1,3.9,6.0,0.8211,0.6956,0.7639,0.7808,0.8143,0.2787,0.4226,0.575,0.4101,0.3345,0.199
cifar10,alexnet,15,0.1,4.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8144,0.2787,0.4226,0.5752,0.4102,0.3346,0.1989
cifar10,alexnet,15,0.1,4.1,6.0,0.8211,0.6956,0.7639,0.7808,0.8142,0.2787,0.4226,0.5751,0.41,0.3344,0.1988
cifar10,alexnet,15,0.1,4.2,6.0,0.8211,0.6956,0.7639,0.7808,0.8142,0.2787,0.4227,0.5751,0.41,0.3343,0.1988
cifar10,alexnet,15,0.1,4.3,6.0,0.8211,0.6956,0.7639,0.7808,0.8144,0.2787,0.4227,0.5751,0.4102,0.3345,0.199
cifar10,alexnet,15,0.1,4.4,6.0,0.8211,0.6956,0.7639,0.7808,0.8144,0.2787,0.4226,0.5752,0.4102,0.3346,0.1989
cifar10,alexnet,15,0.1,4.5,6.0,0.8211,0.6956,0.7639,0.7808,0.8143,0.2787,0.4226,0.5754,0.4101,0.3345,0.1986
cifar10,alexnet,15,0.1,4.6,6.0,0.8211,0.6956,0.7639,0.7808,0.8146,0.2786,0.4226,0.5754,0.4105,0.3348,0.1989
cifar10,alexnet,15,0.1,4.7,6.0,0.8211,0.6956,0.7639,0.7808,0.8146,0.2787,0.4225,0.5755,0.4104,0.3349,0.1988
cifar10,alexnet,15,0.1,4.8,6.0,0.8211,0.6956,0.7639,0.7808,0.8142,0.2786,0.4227,0.5756,0.4101,0.3343,0.1983
cifar10,alexnet,15,0.1,4.9,6.0,0.8211,0.6956,0.7639,0.7808,0.814,0.2786,0.4226,0.5755,0.4099,0.3342,0.1982
cifar10,alexnet,15,0.1,5.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8138,0.2786,0.4226,0.5755,0.4097,0.334,0.198
cifar10,alexnet,15,0.1,5.1,6.0,0.8211,0.6956,0.7639,0.7808,0.8134,0.2786,0.4226,0.5756,0.4093,0.3336,0.1975
cifar10,alexnet,15,0.1,5.2,6.0,0.8211,0.6956,0.7639,0.7808,0.8134,0.2785,0.4225,0.5757,0.4094,0.3337,0.1974
cifar10,alexnet,15,0.1,5.3,6.0,0.8211,0.6956,0.7639,0.7808,0.8133,0.2785,0.4226,0.5759,0.4093,0.3335,0.1971
cifar10,alexnet,15,0.1,5.4,6.0,0.8211,0.6956,0.7639,0.7808,0.8133,0.2785,0.4227,0.576,0.4093,0.3334,0.197
cifar10,alexnet,15,0.1,5.5,6.0,0.8211,0.6956,0.7639,0.7808,0.8133,0.2784,0.4228,0.576,0.4094,0.3333,0.197
cifar10,alexnet,15,0.1,5.6,6.0,0.8211,0.6956,0.7639,0.7808,0.8129,0.2784,0.423,0.576,0.409,0.3327,0.1966
cifar10,alexnet,15,0.1,5.7,6.0,0.8211,0.6956,0.7639,0.7808,0.813,0.2785,0.4229,0.5759,0.409,0.3329,0.1968
cifar10,alexnet,15,0.1,5.8,6.0,0.8211,0.6956,0.7639,0.7808,0.8133,0.2785,0.4228,0.5759,0.4093,0.3333,0.1971
cifar10,alexnet,15,0.1,5.9,6.0,0.8211,0.6956,0.7639,0.7808,0.8133,0.2784,0.4228,0.5759,0.4094,0.3333,0.1971
